VR_OFTEN_USE,VR_MINUTES,VR_ACTIVITIES_1,VR_ACTIVITIES_2,VR_ACTIVITIES_3,VR_ACTIVITIES_4,VR_ACTIVITIES_5,VR_ACTIVITIES_7,VR_ACTIVITIES_6,VR_SYMPTOMS_1,VR_SYMPTOMS_2,VR_SYMPTOMS_3,VR_SYMPTOMS_4,VR_SYMPTOMS_5,VR_SYMPTOMS_6,VR_SYMPTOMS_7,VR_SYMPTOMS_8,GENDER,AGE
2,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22
4,30,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,23
5,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8
2,15,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12
4,20,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,17
2,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
4,15,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8
3,30,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9
4,60,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19
3,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3,35,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,21
4,30,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
3,45,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,18
3,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
3,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23
3,45,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
5,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21
1,35,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,19
3,60,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,33
4,90,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,8
1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
4,30,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9
2,45,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,18
3,30,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21
4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
4,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,15,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,18
3,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
2,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29
4,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
5,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30
1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45
1,45,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,31
5,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5
2,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
3,40,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,33
1,120,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,30
