PID,Group,Gender,Age,SUSScore
P01,Dynamic,Male,21,82.5
P03,Dynamic,Female,20,87.5
P05,Dynamic,Male,19,75
P07,Dynamic,Male,20,80
P09,Dynamic,Female,22,85
P11,Dynamic,Female,19,77.5
P13,Dynamic,Female,23,82.5
P15,Dynamic,Male,24,92.5
P17,Dynamic,Male,21,75
P19,Dynamic,Female,20,80
P21,Dynamic,Female,19,85
P23,Dynamic,Female,18,72.5
P02,Explicit,Male,20,65
P04,Explicit,Male,20,62.5
P06,Explicit,Female,21,72.5
P08,Explicit,Female,23,80
P10,Explicit,Male,19,75
P12,Explicit,Male,24,72.5
P14,Explicit,Female,20,65
P16,Explicit,Female,20,62.5
P18,Explicit,Male,21,72.5
P20,Explicit,Female,20,77.5
P22,Explicit,Male,19,75
P24,Explicit,Female,24,72.5
