PID,Group,Time
P01,Auto-suggestion,6.00
P02,Explicit,11.00
P03,Auto-suggestion,8.92
P04,Auto-suggestion,8.10
P05,Dynamic,8.69
P06,Dynamic,5.35
P07,Auto-suggestion,4.31
P08,Auto-suggestion,7.42
P09,Auto-suggestion,8.74
P10,Dynamic,3.44
P11,Explicit,8.15
P12,Dynamic,10.28
P13,Auto-suggestion,7.63
P14,Auto-suggestion,6.75
P15,Dynamic,6.12
P16,Explicit,11.46
P17,Explicit,12.59
P18,Dynamic,6.00
P19,Auto-suggestion,6.41
P20,Explicit,9.71
P21,Explicit,6.43
P22,Explicit,8.28
P23,Dynamic,7.12
P24,Dynamic,7.11
P25,Explicit,6.47
P26,Dynamic,9.58
P27,Dynamic,6.32
P28,Auto-suggestion,7.37
P29,Auto-suggestion,9.12
P30,Explicit,10.55
P31,Dynamic,7.98
P32,Dynamic,9.40
P33,Explicit,12.56
P34,Auto-suggestion,7.09
P35,Explicit,9.73
P36,Auto-suggestion,6.60
P37,Explicit,9.62
P38,Dynamic,11.04
P39,Dynamic,7.00
P40,Auto-suggestion,6.68
P41,Dynamic,9.64
P42,Dynamic,7.67
P43,Dynamic,8.70
P44,Explicit,6.63
P45,Auto-suggestion,8.89
P46,Dynamic,9.66
P47,Explicit,9.11
P48,Auto-suggestion,9.00
P49,Auto-suggestion,5.06
P50,Auto-suggestion,7.84
P51,Auto-suggestion,7.37
P52,Dynamic,7.43
P53,Explicit,8.85
P54,Explicit,7.97
P55,Explicit,12.75
P56,Explicit,8.99
P57,Explicit,8.28
P58,Auto-suggestion,7.99
P59,Dynamic,9.90
P60,Explicit,9.27
